ds,y
2020-10-01,241328
2020-10-02,207389
2020-10-03,149337
2020-10-04,142542
2020-10-05,246673
2020-10-06,383654
2020-10-07,480073
2020-10-08,236010
2020-10-09,198187
2020-10-10,138242
2020-10-11,345584
2020-10-12,260152
2020-10-13,323310
2020-10-14,553106
2020-10-15,221694
2020-10-16,175809
2020-10-17,148261
2020-10-18,129725
2020-10-19,201314
2020-10-20,323013
2020-10-21,272052
2020-10-22,184631
2020-10-23,166061
2020-10-24,143280
2020-10-25,124300
2020-10-26,192580
2020-10-27,298282
2020-10-28,221779
2020-10-29,148811
2020-10-30,208153
2020-10-31,154928
2020-11-01,124232
2020-11-02,203637
2020-11-03,292971
2020-11-04,233494
2020-11-05,166737
2020-11-06,159346
2020-11-07,146043
2020-11-08,123924
2020-11-09,194544
2020-11-10,291641
2020-11-11,345079
2020-11-12,164858
2020-11-13,141730
2020-11-14,128866
2020-11-15,323843
2020-11-16,191504
2020-11-17,293516
2020-11-18,452083
2020-11-19,227422
2020-11-20,142398
2020-11-21,146677
2020-11-22,125302
2020-11-23,212337
2020-11-24,321548
2020-11-25,243808
2020-11-26,159237
2020-11-27,161576
2020-11-28,152406
2020-11-29,150926
2020-11-30,227444
2020-12-01,330338
2020-12-02,247847
2020-12-03,162490
2020-12-04,185227
2020-12-05,193374
2020-12-06,157496
2020-12-07,237271
2020-12-08,352306
2020-12-09,259844
2020-12-10,176033
2020-12-11,158975
2020-12-12,192322
2020-12-13,164476
2020-12-14,248394
2020-12-15,408205
2020-12-16,279172
2020-12-17,172402
2020-12-18,172315
2020-12-19,208116
2020-12-20,163722
2020-12-21,263933
2020-12-22,437882
2020-12-23,293487
2020-12-24,176048
2020-12-25,169403
2020-12-26,220406
2020-12-27,166028
2020-12-28,254545
2020-12-29,413490
2020-12-30,248994
2020-12-31,159186
2021-01-01,172385
2021-01-02,202149
2021-01-03,148435
2021-01-04,240166
2021-01-05,306159
2021-01-06,210157
2021-01-07,151638
2021-01-08,138751
2021-01-09,208362
2021-01-10,198638
2021-01-11,321987
2021-01-12,431693
2021-01-13,292737
2021-01-14,162496
2021-01-15,149292
2021-01-16,268197
2021-01-17,241751
2021-01-18,266113
2021-01-19,378050
2021-01-20,258233
2021-01-21,151574
2021-01-22,136974
2021-01-23,213307
2021-01-24,207009
2021-01-25,250878
2021-01-26,481543
2021-01-27,286753
2021-01-28,146516
2021-01-29,138914
2021-01-30,230232
2021-01-31,238778
2021-02-01,280574
2021-02-02,427103
2021-02-03,258281
2021-02-04,133489
2021-02-05,129630
2021-02-06,223478
2021-02-07,201036
2021-02-08,260059
2021-02-09,416247
2021-02-10,293633
2021-02-11,130738
2021-02-12,121654
2021-02-13,201756
2021-02-14,216857
2021-02-15,250022
2021-02-16,396469
2021-02-17,241954
2021-02-18,149940
2021-02-19,147019
2021-02-20,227668
2021-02-21,204926
2021-02-22,251046
2021-02-23,382515
2021-02-24,258002
2021-02-25,143026
2021-02-26,127727
2021-02-27,218372
2021-02-28,254702
2021-03-01,287222
2021-03-02,442693
2021-03-03,289336
2021-03-04,185760
2021-03-05,170615
2021-03-06,222490
2021-03-07,392781
2021-03-08,316292
2021-03-09,413621
2021-03-10,290921
2021-03-11,208281
2021-03-12,178263
2021-03-13,214609
2021-03-14,443034
2021-03-15,443364
2021-03-16,706168
2021-03-17,412657
2021-03-18,213932
2021-03-19,203321
2021-03-20,315253
2021-03-21,537946
2021-03-22,364716
2021-03-23,549084
2021-03-24,1366045
2021-03-25,291534
2021-03-26,204529
2021-03-27,1357238
2021-03-28,489994
2021-03-29,404614
2021-03-30,1404714
2021-03-31,363258
2021-04-01,261455
2021-04-02,223378
2021-04-03,322293
2021-04-04,468871
2021-04-05,413349
2021-04-06,556259
2021-04-07,312775
2021-04-08,265322
2021-04-09,215432
2021-04-10,345693
2021-04-11,470101
2021-04-12,403818
2021-04-13,667087
2021-04-14,395299
2021-04-15,303000
2021-04-16,259300
2021-04-17,358317
2021-04-18,480509
2021-04-19,383823
2021-04-20,510494
2021-04-21,348310
2021-04-22,256192
2021-04-23,262555
2021-04-24,342348
2021-04-25,486467
2021-04-26,500982
2021-04-27,534645
2021-04-28,347977
2021-04-29,259717
2021-04-30,242963
2021-05-01,351490
2021-05-02,450221
2021-05-03,400613
2021-05-04,596155
2021-05-05,364367
2021-05-06,266546
2021-05-07,247064
2021-05-08,324482
2021-05-09,470625
2021-05-10,436509
2021-05-11,689702
2021-05-12,347333
2021-05-13,199573
2021-05-14,174730
2021-05-15,338311
2021-05-16,400550
2021-05-17,351896
2021-05-18,536777
2021-05-19,325025
2021-05-20,211673
2021-05-21,178969
2021-05-22,294571
