ds,y
2020-10-01,6179
2020-10-02,5078
2020-10-03,4226
2020-10-04,4312
2020-10-05,8629
2020-10-06,10643
2020-10-07,10956
2020-10-08,4938
2020-10-09,5047
2020-10-10,3511
2020-10-11,14286
2020-10-12,8174
2020-10-13,8692
2020-10-14,12320
2020-10-15,4202
2020-10-16,4197
2020-10-17,3663
2020-10-18,3416
2020-10-19,6299
2020-10-20,8261
2020-10-21,5543
2020-10-22,3766
2020-10-23,3800
2020-10-24,3768
2020-10-25,3224
2020-10-26,5805
2020-10-27,7782
2020-10-28,4461
2020-10-29,3272
2020-10-30,4571
2020-10-31,3913
2020-11-01,3480
2020-11-02,6240
2020-11-03,7231
2020-11-04,5005
2020-11-05,3849
2020-11-06,3706
2020-11-07,4071
2020-11-08,3259
2020-11-09,5829
2020-11-10,7035
2020-11-11,6791
2020-11-12,3184
2020-11-13,3181
2020-11-14,3540
2020-11-15,11812
2020-11-16,5593
2020-11-17,7431
2020-11-18,15327
2020-11-19,4215
2020-11-20,4066
2020-11-21,4879
2020-11-22,4580
2020-11-23,9103
2020-11-24,10062
2020-11-25,5051
2020-11-26,3711
2020-11-27,3727
2020-11-28,4667
2020-11-29,3816
2020-11-30,7566
2020-12-01,8748
2020-12-02,5166
2020-12-03,3635
2020-12-04,3799
2020-12-05,5250
2020-12-06,3928
2020-12-07,7951
2020-12-08,8200
2020-12-09,5258
2020-12-10,4133
2020-12-11,3802
2020-12-12,5644
2020-12-13,3918
2020-12-14,7094
2020-12-15,8142
2020-12-16,4485
2020-12-17,3491
2020-12-18,3938
2020-12-19,5846
2020-12-20,3993
2020-12-21,9540
2020-12-22,9001
2020-12-23,4497
2020-12-24,3563
2020-12-25,3593
2020-12-26,6115
2020-12-27,3819
2020-12-28,6828
2020-12-29,8170
2020-12-30,4446
2020-12-31,3727
2021-01-01,5002
2021-01-02,8487
2021-01-03,4985
2021-01-04,7263
2021-01-05,5687
2021-01-06,4510
2021-01-07,3454
2021-01-08,3717
2021-01-09,6465
2021-01-10,7597
2021-01-11,10445
2021-01-12,10330
2021-01-13,6427
2021-01-14,4280
2021-01-15,4230
2021-01-16,9939
2021-01-17,8349
2021-01-18,8353
2021-01-19,7886
2021-01-20,4847
2021-01-21,3419
2021-01-22,3611
2021-01-23,6568
2021-01-24,7252
2021-01-25,7705
2021-01-26,10341
2021-01-27,5477
2021-01-28,3477
2021-01-29,3644
2021-01-30,7591
2021-01-31,8525
2021-02-01,7917
2021-02-02,8874
2021-02-03,4585
2021-02-04,3209
2021-02-05,3431
2021-02-06,6650
2021-02-07,6707
2021-02-08,7362
2021-02-09,7846
2021-02-10,4637
2021-02-11,3035
2021-02-12,3252
2021-02-13,6084
2021-02-14,7796
2021-02-15,8017
2021-02-16,8398
2021-02-17,4757
2021-02-18,3492
2021-02-19,3631
2021-02-20,6532
2021-02-21,6553
2021-02-22,7189
2021-02-23,7027
2021-02-24,4222
2021-02-25,3414
2021-02-26,3437
2021-02-27,7167
2021-02-28,9682
