ds,y
2021-02-01,771202
2021-02-02,1387836
2021-02-03,540387
2021-02-04,276750
2021-02-05,326331
2021-02-06,701534
2021-02-07,617391
2021-02-08,786820
2021-02-09,1390417
2021-02-10,664561
2021-02-11,283207
2021-02-12,309007
2021-02-13,601266
2021-02-14,575553
2021-02-15,788239
2021-02-16,1275428
2021-02-17,525177
2021-02-18,343820
2021-02-19,378605
2021-02-20,717483
2021-02-21,539787
2021-02-22,785414
2021-02-23,1225076
2021-02-24,534419
2021-02-25,330553
2021-02-26,329695
2021-02-27,733731
2021-02-28,788832
2021-03-01,950065
2021-03-02,1481737
2021-03-03,682878
2021-03-04,461112
2021-03-05,441928
2021-03-06,654861
2021-03-07,1026205
2021-03-08,1003724
2021-03-09,1339008
2021-03-10,735392
2021-03-11,499047
2021-03-12,456823
2021-03-13,641273
2021-03-14,1387050
2021-03-15,1744385
2021-03-16,3133070
2021-03-17,1030998
2021-03-18,536965
2021-03-19,628898
2021-03-20,1226165
2021-03-21,2057949
2021-03-22,686867
2021-03-23,831945
2021-03-24,1905992
2021-03-25,246335
2021-03-26,267298
2021-03-27,2165078
2021-03-28,630269
2021-03-29,563360
2021-03-30,2017493
2021-03-31,322848
2021-04-01,343265
2021-04-02,277100
2021-04-03,484178
2021-04-04,847716
2021-04-05,605096
2021-04-06,826778
2021-04-07,341518
2021-04-08,335843
2021-04-09,286182
2021-04-10,769821
2021-04-11,713323
2021-04-12,563586
2021-04-13,975114
2021-04-14,486781
2021-04-15,413389
2021-04-16,344162
2021-04-17,590045
2021-04-18,730322
2021-04-19,563282
2021-04-20,930952
2021-04-21,404050
2021-04-22,361666
2021-04-23,379829
2021-04-24,550658
2021-04-25,742534
2021-04-26,735080
2021-04-27,768575
2021-04-28,393974
2021-04-29,366423
2021-04-30,347164
2021-05-01,551633
2021-05-02,769905
2021-05-03,592436
2021-05-04,851565
2021-05-05,423640
2021-05-06,370032
2021-05-07,351487
2021-05-08,473052
2021-05-09,778502
2021-05-10,641746
2021-05-11,954146
2021-05-12,404898
2021-05-13,258357
2021-05-14,259696
2021-05-15,517752
2021-05-16,618632
2021-05-17,525839
2021-05-18,806638
2021-05-19,368806
2021-05-20,279135
2021-05-21,250134
2021-05-22,471096
2021-05-23,580541
2021-05-24,481792
2021-05-25,671192
2021-05-26,318859
2021-05-27,436065
2021-05-28,234966
2021-05-29,378728
2021-05-30,545736
2021-05-31,626969
2021-06-01,644753
2021-06-02,266641
2021-06-03,392341
2021-06-04,264793
2021-06-05,275177
2021-06-06,456765
2021-06-07,282482
2021-06-08,595057
2021-06-09,233580
2021-06-10,228081
2021-06-11,3132230
2021-06-12,1217613
2021-06-13,1119696
2021-06-14,953997
2021-06-15,1337066
2021-06-16,3456216
2021-06-17,840566
2021-06-18,824884
2021-06-19,1238335
2021-06-20,2076147
2021-06-21,587204
2021-06-22,478471
2021-06-23,1256659
2021-06-24,254255
2021-06-25,197265
2021-06-26,670112
2021-06-27,1186374
2021-06-28,1175454
2021-06-29,1332982
2021-06-30,328846
2021-07-01,226201
2021-07-02,2406739
2021-07-03,1328057
2021-07-04,191447
2021-07-05,160398
2021-07-06,1038848
2021-07-07,1250608
2021-07-08,354192
2021-07-09,143852
2021-07-10,143573
2021-07-11,1583857
2021-07-12,823373
2021-07-13,123099
2021-07-14,174239
2021-07-15,190321
2021-07-16,135574
2021-07-17,126870
2021-07-18,123690
2021-07-19,118241
2021-07-20,176707
2021-07-21,134643
2021-07-22,161275
2021-07-23,159595
2021-07-24,217814
2021-07-25,287064
2021-07-26,223626
2021-07-27,355358
2021-07-28,312064
2021-07-29,380614
2021-07-30,190185
2021-07-31,342961
2021-08-01,251611
2021-08-02,360284
2021-08-03,220011
2021-08-04,373579
2021-08-05,252699
2021-08-06,214057
2021-08-07,290136
2021-08-08,172813
2021-08-09,166270
2021-08-10,134492
2021-08-11,136690
2021-08-12,203360
2021-08-13,149451
2021-08-14,134652
2021-08-15,155868
2021-08-16,139676
2021-08-17,129248
2021-08-18,172346
2021-08-19,178390
2021-08-20,178965
2021-08-21,139750
2021-08-22,202417
2021-08-23,204944
2021-08-24,183608
2021-08-25,136489
2021-08-26,250729
2021-08-27,146912
2021-08-28,155883
2021-08-29,244880
2021-08-30,223388
2021-08-31,597077
2021-09-01,1202716
2021-09-02,186964
2021-09-03,1473558
2021-09-04,1348019
2021-09-05,214597
2021-09-06,168866
2021-09-07,1351900
2021-09-08,174394
2021-09-09,147232
2021-09-10,137662
2021-09-11,312821
2021-09-12,311136
2021-09-13,190490
2021-09-14,413807
2021-09-15,229918
2021-09-16,403987
2021-09-17,222274
2021-09-18,310569
2021-09-19,302932
2021-09-20,185909
2021-09-21,356655
2021-09-22,189106
2021-09-23,365296
2021-09-24,199053
2021-09-25,319216
2021-09-26,447191
2021-09-27,225488
2021-09-28,331813
2021-09-29,184806
2021-09-30,318299
2021-10-01,193731
2021-10-02,373548
2021-10-03,451540
2021-10-04,237972
2021-10-05,415683
2021-10-06,204019
2021-10-07,316740
2021-10-08,1722303
2021-10-09,386953
2021-10-10,490789
2021-10-11,1454149
2021-10-12,464120
2021-10-13,210921
2021-10-14,326140
2021-10-15,245540
2021-10-16,419061
2021-10-17,515608
2021-10-18,231115
2021-10-19,399806
2021-10-20,196477
2021-10-21,321753
2021-10-22,246872
2021-10-23,441560
2021-10-24,502998
2021-10-25,262147
2021-10-26,386494
2021-10-27,200038
2021-10-28,321328
2021-10-29,261766
2021-10-30,441087
2021-10-31,495946
2021-11-01,249156
2021-11-02,397696
2021-11-03,204051
2021-11-04,276916
2021-11-05,248220
2021-11-06,479990
2021-11-07,508916
2021-11-08,521473
2021-11-09,478920
2021-11-10,254312
2021-11-11,325408
2021-11-12,245394
2021-11-13,1584794
2021-11-14,482471
2021-11-15,471664
2021-11-16,2046485
2021-11-17,673694
2021-11-18,343892
2021-11-19,275023
2021-11-20,501862
2021-11-21,662873
2021-11-22,536970
2021-11-23,454928
2021-11-24,246639
2021-11-25,362861
2021-11-26,306175
2021-11-27,542291
2021-11-28,614174
2021-11-29,621050
2021-11-30,567439
2021-12-01,253564
2021-12-02,360244
2021-12-03,281749
2021-12-04,571461
2021-12-05,622233
2021-12-06,614172
2021-12-07,486137
2021-12-08,253228
2021-12-09,384252
2021-12-10,299651
2021-12-11,564272
2021-12-12,613590
2021-12-13,636207
2021-12-14,549160
2021-12-15,296374
2021-12-16,530712
2021-12-17,296965
2021-12-18,627260
2021-12-19,722977
2021-12-20,620001
2021-12-21,513139
2021-12-22,277957
2021-12-23,400065
2021-12-24,316985
2021-12-25,546030
2021-12-26,623973
2021-12-27,588021
2021-12-28,525765
2021-12-29,268758
2021-12-30,365691
2021-12-31,298855
2022-01-01,399721
2022-01-02,449236
2022-01-03,428377
2022-01-04,329266
2022-01-05,262679
2022-01-06,267315
2022-01-07,246115
2022-01-08,542043
2022-01-09,587400
2022-01-10,464396
2022-01-11,349991
2022-01-12,279242
2022-01-13,308277
2022-01-14,275988
2022-01-15,582711
2022-01-16,617851
2022-01-17,571898
2022-01-18,493642
2022-01-19,283679
2022-01-20,370939
2022-01-21,322311
2022-01-22,684221
2022-01-23,668257
2022-01-24,799504
2022-01-25,575385
2022-01-26,303498
2022-01-27,489273
2022-01-28,326129
2022-01-29,551495
2022-01-30,649584
2022-01-31,650084
2022-02-01,514134
2022-02-02,291056
2022-02-03,446651
2022-02-04,381890
2022-02-05,599749
2022-02-06,825991
2022-02-07,712512
2022-02-08,542362
2022-02-09,308421
2022-02-10,419898
2022-02-11,355997
2022-02-12,607419
2022-02-13,676837
2022-02-14,712819
2022-02-15,508472
2022-02-16,326016
2022-02-17,456798
2022-02-18,312800
2022-02-19,608249
2022-02-20,674942
2022-02-21,696519
2022-02-22,491315
2022-02-23,307764
2022-02-24,548471
2022-02-25,394854
2022-02-26,738185
2022-02-27,749963
2022-02-28,762278
2022-03-01,543703
2022-03-02,364516
2022-03-03,471902
2022-03-04,334514
2022-03-05,710551
2022-03-06,766651
2022-03-07,704991
2022-03-08,538737
2022-03-09,324586
2022-03-10,490061
2022-03-11,377281
2022-03-12,717122
2022-03-13,692415
2022-03-14,690245
2022-03-15,550099
2022-03-16,313834
2022-03-17,416338
2022-03-18,376840
2022-03-19,677074
2022-03-20,689721
2022-03-21,607553
2022-03-22,493733
2022-03-23,305118
2022-03-24,2408549
2022-03-25,908511
2022-03-26,773103
2022-03-27,718884
2022-03-28,656321
2022-03-29,1133295
2022-03-30,368111
2022-03-31,421391
2022-04-01,306127
2022-04-02,875626
2022-04-03,746948
2022-04-04,700982
2022-04-05,590341
2022-04-06,449362
2022-04-07,609064
2022-04-08,506310
2022-04-09,837528
2022-04-10,816412
2022-04-11,703246
2022-04-12,559306
2022-04-13,445899
2022-04-14,510270
2022-04-15,325840
2022-04-16,345107
2022-04-17,407097
2022-04-18,373312
2022-04-19,341593
2022-04-20,279269
2022-04-21,284201
2022-04-22,261970
2022-04-23,453357
2022-04-24,380549
2022-04-25,602339
2022-04-26,549157
2022-04-27,417073
2022-04-28,431730
2022-04-29,419183
2022-04-30,657426
2022-05-01,558932
2022-05-02,321185
2022-05-03,295637
2022-05-04,265879
2022-05-05,284501
2022-05-06,332338
2022-05-07,422175
2022-05-08,479632
2022-05-09,511366
2022-05-10,402987
2022-05-11,324943
2022-05-12,430733
2022-05-13,340009
2022-05-14,582072
2022-05-15,449262
2022-05-16,664952
2022-05-17,394145
2022-05-18,357070
2022-05-19,363613
2022-05-20,342688
2022-05-21,526367
2022-05-22,474469
2022-05-23,488710
2022-05-24,424789
2022-05-25,327235
2022-05-26,331716
2022-05-27,337657
2022-05-28,577350
2022-05-29,509975
2022-05-30,511727
2022-05-31,369185
2022-06-01,282707
2022-06-02,330941
2022-06-03,318477
2022-06-04,948244
2022-06-05,340844
2022-06-06,295470
2022-06-07,942290
2022-06-08,286769
2022-06-09,313738
2022-06-10,291449
2022-06-11,1048551
2022-06-12,321485
2022-06-13,391976
2022-06-14,944587
2022-06-15,256736
2022-06-16,259957
2022-06-17,290146
2022-06-18,307850
2022-06-19,344357
2022-06-20,267600
2022-06-21,308058
2022-06-22,289166
2022-06-23,271944
2022-06-24,328169
2022-06-25,275841
2022-06-26,287266
